EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
211892,KINGS (BROOKLYN) (ZONE), ,01/03/2010,800,Strong Wind,41.00, ,0,0,5000,0,NY,EST-5,EG,36548,Z,75,OKX,0,0,ASOS, , , , , , , , ,01/03/2010,1300, , , , ,"Strong northwest winds behind deep low pressure over the western Atlantic Ocean ripped scores of bricks from a building on Pacific Steet in Brooklyn NY.  No one was injured.","Deep low pressure over the western Atlantic Ocean resulted in a prolonged period of strong northwest winds.",1
211893,BRONX (ZONE), ,01/25/2010,600,Strong Wind,48.00, ,0,1,1000,0,NY,EST-5,EG,36551,Z,73,OKX,0,0,ASOS, , , , , , , , ,01/25/2010,1200, , , , ,"Sidewalk bridging along Alcott Place collapsed, injuring one person.","A tight pressure gradient ahead of a cold front produced strong southerly winds.",2
214130,NEW YORK (MANHATTAN) (ZONE), ,01/25/2010,600,Strong Wind,48.00, ,0,0,25000,0,NY,EST-5,EG,36827,Z,72,OKX,0,0,Emergency Manager, , , , , , , , ,01/25/2010,1100, , , , ,"Debris was blown off a building northwest of Crown Heights Brooklyn due to strong and gusty winds.","A tight pressure gradient ahead of a cold front produced strong southerly winds.",3
217497,RICHMOND (STATEN IS.) (ZONE), ,02/09/2010,2100,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37383,Z,74,OKX,0,0,Official NWS Observations, , , , , , , , ,02/11/2010,100, , , , ,"","Rapidly deepening low pressure tracked slowly northeast from the North Carolina coast during the day Wednesday to southeast of Long Island by Wednesday evening. This brought periods of heavy snow to the region late Tuesday night into Wednesday evening. In addition, strong northeasterly winds occurred across NYC and Long Island during the peak of the event Wednesday afternoon, which caused blowing and drifting of snow. Between ten to sixteen inches of snow fell across NYC and Long Island, with six to twelve inches across the Lower Hudson Valley.",4
217496,KINGS (BROOKLYN) (ZONE), ,02/09/2010,2200,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37383,Z,75,OKX,0,0,Official NWS Observations, , , , , , , , ,02/11/2010,100, , , , ,"","Rapidly deepening low pressure tracked slowly northeast from the North Carolina coast during the day Wednesday to southeast of Long Island by Wednesday evening. This brought periods of heavy snow to the region late Tuesday night into Wednesday evening. In addition, strong northeasterly winds occurred across NYC and Long Island during the peak of the event Wednesday afternoon, which caused blowing and drifting of snow. Between ten to sixteen inches of snow fell across NYC and Long Island, with six to twelve inches across the Lower Hudson Valley.",5
217500,NEW YORK (MANHATTAN) (ZONE), ,02/09/2010,2200,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37383,Z,72,OKX,0,0,Official NWS Observations, , , , , , , , ,02/11/2010,100, , , , ,"","Rapidly deepening low pressure tracked slowly northeast from the North Carolina coast during the day Wednesday to southeast of Long Island by Wednesday evening. This brought periods of heavy snow to the region late Tuesday night into Wednesday evening. In addition, strong northeasterly winds occurred across NYC and Long Island during the peak of the event Wednesday afternoon, which caused blowing and drifting of snow. Between ten to sixteen inches of snow fell across NYC and Long Island, with six to twelve inches across the Lower Hudson Valley.",6
217494,BRONX (ZONE), ,02/09/2010,2200,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37383,Z,73,OKX,0,0,Official NWS Observations, , , , , , , , ,02/11/2010,100, , , , ,"","Rapidly deepening low pressure tracked slowly northeast from the North Carolina coast during the day Wednesday to southeast of Long Island by Wednesday evening. This brought periods of heavy snow to the region late Tuesday night into Wednesday evening. In addition, strong northeasterly winds occurred across NYC and Long Island during the peak of the event Wednesday afternoon, which caused blowing and drifting of snow. Between ten to sixteen inches of snow fell across NYC and Long Island, with six to twelve inches across the Lower Hudson Valley.",7
217745,NEW YORK (MANHATTAN) (ZONE), ,02/25/2010,700,Heavy Snow, , ,1,0,0,0,NY,EST-5, ,37422,Z,72,OKX,0,0,Broadcast Media, , , , , , , , ,02/26/2010,1900, , , , ,"Heavy wet snow accumulated on trees.  One branch fell on and killed a male in his 30s in Central Park around 3:58 pm EST.  Numerous trees were downed from 69th through 71st streets along 5th Avenue.  One tree fell on and crushed a city bus with people in it.  No injuries were reported.","Low pressure rapidly deepened as it tracked north from the North Carolina coast Thursday morning the 25th of February to over the Tri-State area by Thursday evening. This was in response to a powerful upper level disturbance approaching the Eastern U.S coast. The low presure area then rotated over the region through Friday afternoon before finally lifting out on Saturday. This low brought a combination of heavy snow, heavy rain, coastal flooding and strong winds to the region Wednesday Night through Friday. Up to 3 feet of snow fell across interior portions of the Lower Hudson Valley, one to two feet across the NYC metropolitan region and six to twelve inches of snow across eastern Long Island.",8
217746,BRONX (ZONE), ,02/25/2010,700,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37422,Z,73,OKX,0,0,Official NWS Observations, , , , , , , , ,02/26/2010,1900, , , , ,"","Low pressure rapidly deepened as it tracked north from the North Carolina coast Thursday morning the 25th of February to over the Tri-State area by Thursday evening. This was in response to a powerful upper level disturbance approaching the Eastern U.S coast. The low presure area then rotated over the region through Friday afternoon before finally lifting out on Saturday. This low brought a combination of heavy snow, heavy rain, coastal flooding and strong winds to the region Wednesday Night through Friday. Up to 3 feet of snow fell across interior portions of the Lower Hudson Valley, one to two feet across the NYC metropolitan region and six to twelve inches of snow across eastern Long Island.",9
217747,KINGS (BROOKLYN) (ZONE), ,02/25/2010,1000,Heavy Snow, , ,0,0,0,0,NY,EST-5, ,37422,Z,75,OKX,0,0,Official NWS Observations, , , , , , , , ,02/26/2010,1900, , , , ,"","Low pressure rapidly deepened as it tracked north from the North Carolina coast Thursday morning the 25th of February to over the Tri-State area by Thursday evening. This was in response to a powerful upper level disturbance approaching the Eastern U.S coast. The low presure area then rotated over the region through Friday afternoon before finally lifting out on Saturday. This low brought a combination of heavy snow, heavy rain, coastal flooding and strong winds to the region Wednesday Night through Friday. Up to 3 feet of snow fell across interior portions of the Lower Hudson Valley, one to two feet across the NYC metropolitan region and six to twelve inches of snow across eastern Long Island.",10
